date,lag_4,lag_3,lag_2,lag_1,target
2025-01-29,86.42,86.2,86.34,86.52,86.61
2025-01-30,86.2,86.34,86.52,86.61,86.55
2025-01-31,86.34,86.52,86.61,86.55,86.54
2025-02-03,86.52,86.61,86.55,86.54,87.19
2025-02-04,86.61,86.55,86.54,87.19,87.06
2025-02-05,86.55,86.54,87.19,87.06,87.08
2025-02-06,86.54,87.19,87.06,87.08,87.57
2025-02-07,87.19,87.06,87.08,87.57,87.43
2025-02-10,87.06,87.08,87.57,87.43,87.45
2025-02-11,87.08,87.57,87.43,87.45,86.76
2025-02-12,87.57,87.43,87.45,86.76,86.9
2025-02-13,87.43,87.45,86.76,86.9,86.89
2025-02-14,87.45,86.76,86.9,86.89,86.82
2025-02-18,86.76,86.9,86.89,86.82,86.96
2025-02-19,86.9,86.89,86.82,86.96,86.96
2025-02-20,86.89,86.82,86.96,86.96,86.65
2025-02-21,86.82,86.96,86.96,86.65,86.7
2025-02-24,86.96,86.96,86.65,86.7,86.72
2025-02-25,86.96,86.65,86.7,86.72,87.2
2025-02-26,86.65,86.7,86.72,87.2,87.2
2025-02-27,86.7,86.72,87.2,87.2,87.17
2025-02-28,86.72,87.2,87.2,87.17,87.5
2025-03-03,87.2,87.2,87.17,87.5,87.35
2025-03-04,87.2,87.17,87.5,87.35,87.26
2025-03-05,87.17,87.5,87.35,87.26,86.95
2025-03-06,87.5,87.35,87.26,86.95,87.11
2025-03-07,87.35,87.26,86.95,87.11,86.88
2025-03-10,87.26,86.95,87.11,86.88,87.27
2025-03-11,86.95,87.11,86.88,87.27,87.16
2025-03-12,87.11,86.88,87.27,87.16,87.16
2025-03-13,86.88,87.27,87.16,87.16,87.0
2025-03-14,87.27,87.16,87.16,87.0,87.0
2025-03-17,87.16,87.16,87.0,87.0,86.79
2025-03-18,87.16,87.0,87.0,86.79,86.5
2025-03-19,87.0,87.0,86.79,86.5,86.43
2025-03-20,87.0,86.79,86.5,86.43,86.31
2025-03-21,86.79,86.5,86.43,86.31,86.01
2025-03-24,86.5,86.43,86.31,86.01,85.56
2025-03-25,86.43,86.31,86.01,85.56,85.77
2025-03-26,86.31,86.01,85.56,85.77,85.71
2025-03-27,86.01,85.56,85.77,85.71,85.79
2025-03-28,85.56,85.77,85.71,85.79,85.51
2025-03-31,85.77,85.71,85.79,85.51,85.43
2025-04-01,85.71,85.79,85.51,85.43,85.46
2025-04-02,85.79,85.51,85.43,85.46,85.52
2025-04-03,85.51,85.43,85.46,85.52,85.44
2025-04-04,85.43,85.46,85.52,85.44,85.24
2025-04-07,85.46,85.52,85.44,85.24,85.85
2025-04-08,85.52,85.44,85.24,85.85,86.24
2025-04-09,85.44,85.24,85.85,86.24,86.64
2025-04-10,85.24,85.85,86.24,86.64,86.69
2025-04-11,85.85,86.24,86.64,86.69,86.06
2025-04-14,86.24,86.64,86.69,86.06,86.02
2025-04-15,86.64,86.69,86.06,86.02,85.76
2025-04-16,86.69,86.06,86.02,85.76,85.67
2025-04-17,86.06,86.02,85.76,85.67,85.37
2025-04-18,86.02,85.76,85.67,85.37,85.43
2025-04-21,85.76,85.67,85.37,85.43,85.18
2025-04-22,85.67,85.37,85.43,85.18,85.19
2025-04-23,85.37,85.43,85.18,85.19,85.42
2025-04-24,85.43,85.18,85.19,85.42,85.3
2025-04-25,85.18,85.19,85.42,85.3,85.43
2025-04-28,85.19,85.42,85.3,85.43,85.02
2025-04-29,85.42,85.3,85.43,85.02,85.27
2025-04-30,85.3,85.43,85.02,85.27,84.49
2025-05-01,85.43,85.02,85.27,84.49,84.58
2025-05-02,85.02,85.27,84.49,84.58,84.5
2025-05-05,85.27,84.49,84.58,84.5,84.27
2025-05-06,84.49,84.58,84.5,84.27,84.45
2025-05-07,84.58,84.5,84.27,84.45,84.82
2025-05-08,84.5,84.27,84.45,84.82,85.67
2025-05-09,84.27,84.45,84.82,85.67,85.38
2025-05-12,84.45,84.82,85.67,85.38,85.38
2025-05-13,84.82,85.67,85.38,85.38,85.35
2025-05-14,85.67,85.38,85.38,85.35,85.29
2025-05-15,85.38,85.38,85.35,85.29,85.52
2025-05-16,85.38,85.35,85.29,85.52,85.49
2025-05-19,85.35,85.29,85.52,85.49,85.37
2025-05-20,85.29,85.52,85.49,85.37,85.63
2025-05-21,85.52,85.49,85.37,85.63,85.65
2025-05-22,85.49,85.37,85.63,85.65,85.97
2025-05-23,85.37,85.63,85.65,85.97,85.17
2025-05-27,85.63,85.65,85.97,85.17,85.3
2025-05-28,85.65,85.97,85.17,85.3,85.39
2025-05-29,85.97,85.17,85.3,85.39,85.49
2025-05-30,85.17,85.3,85.39,85.49,85.5
